"Gender"	"AttAge"	"DeathRate"
"2"	"100"	0.26579
"2"	"101"	0.28787
"2"	"102"	0.3108
"2"	"103"	0.33455
"2"	"104"	0.35906
"2"	"105"	0.38427
"2"	"106"	0.4101
"2"	"107"	0.43645
"2"	"108"	0.46322
"2"	"109"	0.49028
"2"	"110"	0.5175
"2"	"111"	0.54471
"2"	"112"	0.57177
